# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 18.9977 avgA: 37.5553 avgB: 85.3679 MNR: 0.506318 GNR: 0.324873 DICE: 0.29471
chA: 0 chB: 2 | avgC: 13.3115 avgA: 37.553 avgB: 188.639 MNR: 0.348618 GNR: 0.158356 DICE: 0.120802
chA: 0 chB: 3 | avgC: 17.3544 avgA: 37.553 avgB: 163.158 MNR: 0.447365 GNR: 0.21808 DICE: 0.172897
chA: 0 chB: 4 | avgC: 10.6027 avgA: 37.553 avgB: 74.7856 MNR: 0.276031 GNR: 0.189651 DICE: 0.17631
chA: 1 chB: 2 | avgC: 29.3491 avgA: 85.2095 avgB: 188.261 MNR: 0.344256 GNR: 0.235671 DICE: 0.218436
chA: 1 chB: 3 | avgC: 33.4337 avgA: 85.036 avgB: 162.472 MNR: 0.384721 GNR: 0.281847 DICE: 0.267725
chA: 1 chB: 4 | avgC: 16.9438 avgA: 85.036 avgB: 74.4742 MNR: 0.227489 GNR: 0.207156 DICE: 0.205776
chA: 2 chB: 3 | avgC: 101.282 avgA: 188.261 avgB: 162.829 MNR: 0.625486 GNR: 0.577438 DICE: 0.574837
chA: 2 chB: 4 | avgC: 29.214 avgA: 188.261 avgB: 74.6374 MNR: 0.393669 GNR: 0.247805 DICE: 0.222936
chA: 3 chB: 4 | avgC: 33.8584 avgA: 162.472 avgB: 74.4742 MNR: 0.446428 GNR: 0.302713 DICE: 0.280512

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.5045 avgA: 42.638 avgB: 96.1516 MNR: 0.592555 GNR: 0.384712 DICE: 0.350637
chA: 0 chB: 2 | avgC: 16.7443 avgA: 42.638 avgB: 204.405 MNR: 0.383368 GNR: 0.18123 DICE: 0.141457
chA: 0 chB: 3 | avgC: 17.4706 avgA: 42.638 avgB: 165.898 MNR: 0.393486 GNR: 0.20154 DICE: 0.1642
chA: 0 chB: 4 | avgC: 12.4548 avgA: 42.638 avgB: 83.3982 MNR: 0.288268 GNR: 0.200227 DICE: 0.186732
chA: 1 chB: 2 | avgC: 34.6584 avgA: 95.5933 avgB: 203.148 MNR: 0.356472 GNR: 0.249852 DICE: 0.233395
chA: 1 chB: 3 | avgC: 38.7258 avgA: 95.5933 avgB: 164.885 MNR: 0.395271 GNR: 0.304381 DICE: 0.292915
chA: 1 chB: 4 | avgC: 20.2944 avgA: 95.5933 avgB: 82.9011 MNR: 0.244109 GNR: 0.219997 DICE: 0.218281
chA: 2 chB: 3 | avgC: 103.796 avgA: 203.148 avgB: 164.885 MNR: 0.624146 GNR: 0.563454 DICE: 0.559469
chA: 2 chB: 4 | avgC: 33.0427 avgA: 203.148 avgB: 82.9011 MNR: 0.392306 GNR: 0.252988 DICE: 0.229846
chA: 3 chB: 4 | avgC: 34.8742 avgA: 164.885 avgB: 82.9011 MNR: 0.409661 GNR: 0.291811 DICE: 0.275033

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 22.9342 avgA: 39.6304 avgB: 89.3651 MNR: 0.588773 GNR: 0.377203 DICE: 0.341821
chA: 0 chB: 2 | avgC: 15.3968 avgA: 39.6259 avgB: 196.762 MNR: 0.383103 GNR: 0.17603 DICE: 0.134852
chA: 0 chB: 3 | avgC: 18.1769 avgA: 39.6236 avgB: 157.302 MNR: 0.458175 GNR: 0.230017 DICE: 0.185267
chA: 0 chB: 4 | avgC: 12.3991 avgA: 39.6236 avgB: 81.5351 MNR: 0.307742 GNR: 0.20798 DICE: 0.192141
chA: 1 chB: 2 | avgC: 32.1124 avgA: 88.6607 avgB: 195.115 MNR: 0.355392 GNR: 0.246092 DICE: 0.22886
chA: 1 chB: 3 | avgC: 37.982 avgA: 88.6607 avgB: 155.993 MNR: 0.420324 GNR: 0.32099 DICE: 0.30812
chA: 1 chB: 4 | avgC: 19.8494 avgA: 88.6607 avgB: 80.8764 MNR: 0.250885 GNR: 0.226451 DICE: 0.224829
chA: 2 chB: 3 | avgC: 100.569 avgA: 195.115 avgB: 155.993 MNR: 0.639203 GNR: 0.573113 DICE: 0.568741
chA: 2 chB: 4 | avgC: 32.4831 avgA: 195.115 avgB: 80.8764 MNR: 0.393531 GNR: 0.256463 DICE: 0.233997
chA: 3 chB: 4 | avgC: 35.7079 avgA: 155.993 avgB: 80.8764 MNR: 0.428092 GNR: 0.310603 DICE: 0.294398

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.9931 avgA: 44.3867 avgB: 96.8215 MNR: 0.621516 GNR: 0.402983 DICE: 0.366901
chA: 0 chB: 2 | avgC: 17.6751 avgA: 44.3867 avgB: 213.684 MNR: 0.38537 GNR: 0.179196 DICE: 0.138544
chA: 0 chB: 3 | avgC: 19.8101 avgA: 44.3867 avgB: 164.565 MNR: 0.447232 GNR: 0.229654 DICE: 0.187514
chA: 0 chB: 4 | avgC: 13.1419 avgA: 44.3867 avgB: 81.3982 MNR: 0.295049 GNR: 0.210181 DICE: 0.197538
chA: 1 chB: 2 | avgC: 34.3955 avgA: 95.2944 avgB: 210.047 MNR: 0.348317 GNR: 0.240337 DICE: 0.223165
chA: 1 chB: 3 | avgC: 37.0562 avgA: 95.2944 avgB: 161.836 MNR: 0.372076 GNR: 0.288292 DICE: 0.277695
chA: 1 chB: 4 | avgC: 19.8494 avgA: 95.2944 avgB: 80.0607 MNR: 0.24296 GNR: 0.21668 DICE: 0.214675
chA: 2 chB: 3 | avgC: 102.69 avgA: 210.047 avgB: 161.836 MNR: 0.613712 GNR: 0.541831 DICE: 0.536679
chA: 2 chB: 4 | avgC: 31.9079 avgA: 210.047 avgB: 80.0607 MNR: 0.383346 GNR: 0.237744 DICE: 0.212612
chA: 3 chB: 4 | avgC: 34.218 avgA: 161.836 avgB: 80.0607 MNR: 0.405858 GNR: 0.285697 DICE: 0.268317

# ---------- 05 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 8.92996 avgA: 19.6809 avgB: 49.8054 MNR: 0.425723 GNR: 0.255256 DICE: 0.225053
chA: 0 chB: 2 | avgC: 4.67451 avgA: 19.8235 avgB: 112.784 MNR: 0.218315 GNR: 0.106487 DICE: 0.085169
chA: 0 chB: 3 | avgC: 4.67315 avgA: 19.6809 avgB: 98.751 MNR: 0.218635 GNR: 0.100849 DICE: 0.0776306
chA: 0 chB: 4 | avgC: 2.56078 avgA: 19.8275 avgB: 40.2196 MNR: 0.119459 GNR: 0.0834981 DICE: 0.0778295
chA: 1 chB: 2 | avgC: 9.83275 avgA: 45.439 avgB: 100.791 MNR: 0.182695 GNR: 0.127812 DICE: 0.119086
chA: 1 chB: 3 | avgC: 10.8407 avgA: 44.383 avgB: 86.7119 MNR: 0.198187 GNR: 0.14604 DICE: 0.13861
chA: 1 chB: 4 | avgC: 5.21986 avgA: 46.1064 avgB: 36.695 MNR: 0.123543 GNR: 0.106329 DICE: 0.104387
chA: 2 chB: 3 | avgC: 45.465 avgA: 101.129 avgB: 89.3252 MNR: 0.478685 GNR: 0.404726 DICE: 0.396833
chA: 2 chB: 4 | avgC: 11.2652 avgA: 103.638 avgB: 37.0753 MNR: 0.243147 GNR: 0.157908 DICE: 0.142985
chA: 3 chB: 4 | avgC: 12.7687 avgA: 90.8719 avgB: 36.8185 MNR: 0.284146 GNR: 0.187686 DICE: 0.171716

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.405 avgA: 41.8778 avgB: 87.7376 MNR: 0.561596 GNR: 0.375557 DICE: 0.34609
chA: 0 chB: 2 | avgC: 14.8778 avgA: 41.8778 avgB: 199.609 MNR: 0.340745 GNR: 0.162819 DICE: 0.127885
chA: 0 chB: 3 | avgC: 18.0701 avgA: 41.8778 avgB: 157.615 MNR: 0.434364 GNR: 0.222682 DICE: 0.181744
chA: 0 chB: 4 | avgC: 11.3054 avgA: 41.8778 avgB: 82.3462 MNR: 0.271209 GNR: 0.188796 DICE: 0.176282
chA: 1 chB: 2 | avgC: 32.2427 avgA: 87.218 avgB: 198.342 MNR: 0.358148 GNR: 0.244435 DICE: 0.226208
chA: 1 chB: 3 | avgC: 37.1348 avgA: 87.218 avgB: 156.652 MNR: 0.412451 GNR: 0.311349 DICE: 0.29803
chA: 1 chB: 4 | avgC: 19.5685 avgA: 87.218 avgB: 81.8494 MNR: 0.245711 GNR: 0.224233 DICE: 0.222839
